end station id,station_name,station_latitude,station_longitude,sitetype
3472,W 15 St & 10 Ave,40.74275383,-74.00747359,Station
3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,Station
3159,W 67 St & Broadway,40.77492513,-73.98266566,Station
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,Station
453,W 22 St & 8 Ave,40.74475148,-73.99915362,Station
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,Station
498,Broadway & W 32 St,40.74854862,-73.98808416,Station
3375,3 Ave & E 72 St,40.7699426,-73.96060712,Station
3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,Station
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,Station
3134,3 Ave & E 62 St,40.76312584,-73.96526895,Station
472,E 32 St & Park Ave,40.7457121,-73.98194829,Station
3226,W 82 St & Central Park West,40.78275,-73.97137,Station
3536,W 116 St & Broadway,40.8082,-73.9641,Station
3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,Station
3656,E 2 St & Avenue A,40.72307749,-73.98583621,Station
3664,North Moore St & Greenwich St,40.72019521,-74.01030064,Station
2010,Grand St & Greene St,40.72165481,-74.00234737,Station
276,Duane St & Greenwich St,40.71748752,-74.0104554,Station
3427,Lafayette St & Jersey St,40.72430527,-73.99600983,Station
417,Barclay St & Church St,40.71291224,-74.01020234,Station
293,Lafayette St & E 8 St,40.73020661,-73.99102628,Station
251,Mott St & Prince St,40.72317958,-73.99480012,Station
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,Station
386,Centre St & Worth St,40.71494807,-74.00234482,Station
312,Allen St & Stanton St,40.722055,-73.989111,Station
483,E 12 St & 3 Ave,40.73223272,-73.98889957,Station
319,Fulton St & Broadway,40.711066,-74.009447,Station
285,Broadway & E 14 St,40.73454567,-73.99074142,Station
3632,E 12 St & Avenue B,40.72804857,-73.9788115,Station
350,Clinton St & Grand St,40.71559509,-73.9870295,Station
335,Washington Pl & Broadway,40.72903917,-73.99404649,Station
357,E 11 St & Broadway,40.73261787,-73.99158043,Station
346,Bank St & Hudson St,40.73652889,-74.00618026,Station
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,Station
229,Great Jones St,40.72743423,-73.99379025,Station
330,Reade St & Broadway,40.71450451,-74.00562789,Station
401,Allen St & Rivington St,40.72019576,-73.98997825,Station
168,W 18 St & 6 Ave,40.73971301,-73.99456405,Station
152,Warren St & Church St,40.71473993,-74.00910627,Station
415,Pearl St & Hanover Square,40.7047177,-74.00926027,Station
311,Norfolk St & Broome St,40.7172274,-73.98802084,Station
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,Station
307,Canal St & Rutgers St,40.71427487,-73.98990025,Station
408,Market St & Cherry St,40.71076228,-73.99400398,Station
308,St James Pl & Oliver St,40.71307916,-73.99851193,Station
403,E 2 St & 2 Ave,40.72502876,-73.99069656,Station
195,Liberty St & Broadway,40.70905623,-74.01043382,Station
317,E 6 St & Avenue B,40.72453734,-73.98185424,Station
439,E 4 St & 2 Ave,40.7262807,-73.98978041,Station
3467,W Broadway & Spring Street,40.72494672,-74.00165856,Station
79,Franklin St & W Broadway,40.71911552,-74.00666661,Station
3389,Carroll St & Columbia St,40.6830456,-74.00348559,Station
3080,S 4 St & Rodney St,40.70934,-73.95608,Station
296,Division St & Bowery,40.71413089,-73.9970468,Station
3474,6 Ave & Spring St,40.7252557,-74.00412083,Station
532,S 5 Pl & S 5 St,40.710451,-73.960876,Station
376,John St & William St,40.70862144,-74.00722156,Station
128,MacDougal St & Prince St,40.72710258,-74.00297088,Station
151,Cleveland Pl & Spring St,40.72210379,-73.99724901,Station
534,Water - Whitehall Plaza,40.70255065,-74.0127234,Station
3258,W 27 St & 10 Ave,40.75018156,-74.00218427,Station
150,E 2 St & Avenue C,40.7208736,-73.98085795,Station
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,Station
351,Front St & Maiden Ln,40.70530954,-74.00612572,Station
3411,Bond St & Bergen St,40.6849668,-73.98620772,Station
306,Cliff St & Fulton St_1,40.70823502,-74.00530063,Station
3298,Warren St & Court St,40.686371,-73.99383324,Station
433,E 13 St & Avenue A,40.72955361,-73.98057249,Station
412,Forsyth St & Canal St,40.7158155,-73.99422366,Station
432,E 7 St & Avenue A,40.72621788,-73.98379855,Station
502,Henry St & Grand St,40.714215,-73.981346,Station
3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,Station
3077,Stagg St & Union Ave,40.70877084,-73.95095259,Station
265,Stanton St & Chrystie St,40.72229346,-73.99147535,Station
3100,Nassau Ave & Newell St,40.72481256,-73.94752622,Station
315,South St & Gouverneur Ln,40.70355377,-74.00670227,Station
2003,1 Ave & E 18 St,40.73381219,-73.98054421,Station
310,State St & Smith St,40.68926942,-73.98912867,Station
254,W 11 St & 6 Ave,40.73532427,-73.99800419,Station
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,Station
320,Leonard St & Church St,40.717571,-74.005549,Station
461,E 20 St & 2 Ave,40.73587678,-73.98205027,Station
295,Pike St & E Broadway,40.71406667,-73.99293911,Station
410,Suffolk St & Stanton St,40.72066442,-73.98517977,Station
531,Forsyth St & Broome St,40.71893904,-73.99266288,Station
279,Peck Slip & Front St,40.707873,-74.00167,Station
3260,Mercer St & Bleecker St,40.72706363,-73.99662137,Station
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,Station
325,E 19 St & 3 Ave,40.73624527,-73.98473765,Station
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,Station
260,Broad St & Bridge St,40.70365182,-74.01167797,Station
3106,Driggs Ave & N Henry St,40.72325,-73.94308,Station
82,St James Pl & Pearl St,40.71117416,-74.00016545,Station
280,E 10 St & 5 Ave,40.73331967,-73.99510132,Station
407,Henry St & Poplar St,40.700469,-73.991454,Station
331,Pike St & Monroe St,40.71173107,-73.99193043,Station
3440,Fulton St & Adams St,40.69241829,-73.98949474,Station
3282,5 Ave & E 88 St,40.78307,-73.95939,Station
3321,Clinton St & Union St,40.6831164,-73.99785267,Station
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,Station
322,Clinton St & Tillary St,40.696192,-73.991218,Station
427,Bus Slip & State St,40.701907,-74.013942,Station
3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,Station
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,Station
497,E 17 St & Broadway,40.73704984,-73.99009296,Station
361,Allen St & Hester St,40.71605866,-73.99190759,Station
3329,Degraw St & Smith St,40.6829151,-73.99318208,Station
326,E 11 St & 1 Ave,40.72953837,-73.98426726,Station
3412,Pacific St & Nevins St,40.6853761,-73.98302136,Station
339,Avenue D & E 12 St,40.72580614,-73.97422494,Station
3043,Lewis Ave & Decatur St,40.6814598,-73.934903,Station
316,Fulton St & William St,40.70955958,-74.00653609,Station
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,Station
340,Madison St & Clinton St,40.71269042,-73.98776323,Station
473,Rivington St & Chrystie St,40.72110063,-73.9919254,Station
3311,Columbia St & Kane St,40.68763155,-74.0016256,Station
3409,Bergen St & Smith St,40.6867443,-73.99063168,Station
445,E 10 St & Avenue A,40.72740794,-73.98142006,Station
337,Old Slip & Front St,40.7037992,-74.00838676,Station
291,Madison St & Montgomery St,40.713126,-73.984844,Station
314,Cadman Plaza West & Montague St,40.69383,-73.990539,Station
342,Columbia St & Rivington St,40.71739973,-73.98016555,Station
237,E 11 St & 2 Ave,40.73047309,-73.98672378,Station
341,Stanton St & Mangin St,40.71782143,-73.97628939,Station
332,Cherry St,40.71219906,-73.97948148,Station
400,Pitt St & Stanton St,40.71926081,-73.98178024,Station
391,Clark St & Henry St,40.69760127,-73.99344559,Station
3078,Broadway & Roebling St,40.70924826,-73.96063149,Station
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,Station
501,FDR Drive & E 35 St,40.744219,-73.97121214,Station
3455,Schermerhorn St & 3 Ave,40.68680821,-73.98036182,Station
334,W 20 St & 7 Ave,40.74238787,-73.99726235,Station
174,E 25 St & 1 Ave,40.7381765,-73.97738662,Station
3300,Prospect Park West & 8 St,40.66514682,-73.97637606,Station
3414,Bergen St & Flatbush Ave,40.68094472,-73.97567332,Station
3581,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,Station
3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,Station
3242,Schermerhorn St & Court St,40.69102926,-73.99183363,Station
262,Washington Park,40.6917823,-73.9737299,Station
3558,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Station
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,Station
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,Station
3317,10 St & 5 Ave,40.6686273,-73.98700053,Station
3371,4 Ave & 2 St,40.67461342,-73.98501143,Station
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,Station
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,Station
3417,Baltic St & 5 Ave,40.6795766,-73.97854971,Station
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,Station
3637,Fulton St & Waverly Ave,40.68323865,-73.96599591,Station
365,Fulton St & Grand Ave,40.68223166,-73.9614583,Station
3549,Grand Ave & Bergen St,40.678045,-73.962408,Station
3397,Court St & Nelson St,40.6763947,-73.99869893,Station
3364,Carroll St & 5 Ave,40.6751622,-73.9814832,Station
3398,Smith St & 9 St,40.6746957,-73.99785768,Station
3419,Douglass St & 4 Ave,40.6792788,-73.98154004,Station
3365,3 St & 7 Ave,40.6703837,-73.97839676,Station
390,Duffield St & Willoughby St,40.69221589,-73.9842844,Station
3537,Carlton Ave & Dean St,40.6809741,-73.9710097,Station
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,Station
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,Station
3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,Station
3054,Greene Ave & Throop Ave,40.6894932,-73.942061,Station
3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,Station
3407,Union St & Nevins St,40.679098,-73.98765475,Station
3306,10 St & 7 Ave,40.6662078,-73.98199886,Station
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,Station
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,Station
